project code,project name,criticality,
VKS,Home Address Management,low,
VMS,FundPricing_CWS,low,
VNH,GTO GICC Global Integrated Command Centre,high,
VNU,Optimus,high,
VSD,GISP Thales HSM and CipherTrust Manager,low,
VU4,gwia,low,
VUP,Renova,low,
VYW,VM Operations - SGRTSS,low,
VZ2,PAMB APIM,low,
VZN,PCACWS - IOC Cloud Ops,low,
W2Y,Avaya,low,
W3K,PROD: VM Operations - THLIFE PRODUCTION,low,
W5F,CreditShield,low,
W68,Six Sigma (PRES Connect),low,
W6F,Ecard,low,
W6W,PRUServices (New Pruaccess),low,
W9C,Azure Kubernetes Service,low,
W9G,MYLIFE - SI Regen,low,
WD8,AIOCE,low,
WDA,GISP - SEO - GitHubReadOnlyAccess,high,
WDF,Matchbook,medium,
WDU,customer,low,
WFJ,MI,low,
WHM,MIS Collibra Edge Server,low,
WKT,PTPLA Billing,low,
WMB,CPR,low,
WMJ,IRASCOM,low,
WMP,Prudentity,low,
WMX,Win11 Cloud VDI - pca (c2250),high,
WQW,App Insights,low,
WRH,GTE CF Azure Terraform Modules GitHub Repositories,medium,
WSQ,FFP – Actuarial Ecosystems,high,
WSW,Pulse Food SDK,low,
WT4,IGW-delete,medium,
WVV,SMS,low,
WW6,File Server - SFS,low,
WWM,hklife varonis,low,
WWT,Magnum 4X,low,
WXK,Sigma,low,
WXR,EPF,low,
WXV,Solvency,medium,
WYG,Qualys,low,
X3C,Win11 Cloud VDI - ai coe,high,
X3J,ipe application,low,
X3Z,PRUChat,low,
X6J,One Pulse Integration Template,high,
X6U,PLUK ESU,low,
X7Y,Prophet Enterprise Manager (PEM),low,
X8E,VM Operations - PSS,low,
X8G,VM Operations - IDLIFE,low,
X8S,PVA - ITO,low,
X9P,RIS,high,
XBT,SSO,low,
XDV,Monitoring,low,
XEY,SUNGL,medium,
XF4,PHKL - Pruonelite,low,
XFQ,PruThidau,low,
XGG,MyEastspring,low,
XGK,CoreTech,low,
XH6,MeChoice,low,
XHK,PHKLHHAPIMCLAIMS,high,
XJA,ADF (Azure Data Factory),low,
XK2,thlife,low,
XM7,SALES DB,low,
XMA,Magnum PURE,high,
XMM,PVA - HR Business Automation Portal,medium,
XMX,Collibra,low,
XP9,ForgeRock,low,
XPF,Software Engineering Templates,low,
XPX,Corporate Website PFA,low,
XQ5,Ecashback,low,
XQ6,GTE CF Automation Tool: Apigee configuration,medium,
XQZ,AI claims,low,
XRP,PCLALPS,medium,
XSY,PSLA,low,
XTE,PCALT UDP,high,
XUS,Coupa (PruPay4U),low,
XV5,PPC,low,
XVD,Data Streaming,high,
XW6,DCD,low,
XWF,Mendix,low,
XXM,enterprise service bus,low,
XXY,OR Printer,low,
XZD,eSubmission,low,
Y2R,FIS,low,
Y2Y,PruSales Enterprise (PSE) PACS,high,
Y4K,Symphony,low,
Y54,PVA - DNC,low,
Y5Q,SVD,low,
Y68,GTIS Sandbox,low,
Y6S,SharePoint - PIL,low,
Y6W,ITSS,low,
Y7C,MMLIFE SVC,low,
Y7K,SCC,low,
Y7P,hklife tfs,low,
Y7R,TakafulNet Portal,medium,
Y8N,GTE-Analytics,low,
YA9,OVO,low,
YB6,NBU Reports,low,
YCP,SVN Source Control,low,
YEM,PVA - ITO,low,
YG2,pruvnlife buildout technical,low,
YGE,PCALT Cloud Infrastructure Operation,low,
YGG,Security Library,high,
YGT,PCLA Biz Workbench,medium,
YH8,PEL DGMT,low,
YHJ,New Business Workflow,high,
YHU,Cloud ERP,low,
YHY,Win11 Cloud VDI - pss (FCIU),high,
YKX,PAMB Shared Applications,high,
YSH,Cloud EDW,low,
YTQ,LPS and MIS,low,
YYC,PRUQLite,low,
YYE,Lead Tracking System - LTS,low,
YZP,PAMB-CAU,low,
Z2Z,NTU Reports,low,
Z3R,Code Templates,low,
Z5Z,GT Engineering Core Infrastructure,high,
Z6Z,GPU,low,
Z7B,SCV (Database),low,
Z7D,BCP Call Tree,low,
Z8G,PLT-APIM,high,
Z8T,VM Operations - SGLIFE,low,
Z9C,PHKL POC Data Platform,low,
ZCZ,CIAM,low,
ZEN,VPMS,low,
ZHK,Azure AD Application (SSO) Self-Service,medium,
ZHS,E-Commerce,medium,
ZJK,str,medium,
ZJQ,eACR,low,
ZK2,Whatsapp Chatbot,low,
ZKA,Seven Sisters Integration,low,
ZMB,VM Operations - SGRSSS,low,
ZN6,PVA - APIM,high,
ZNZ,Customer Porta,low,
ZQF,PruEntrepreneur,low,
ZQJ,Letter Generator,low,
ZQT,PHKL DevOps,low,
ZQY,PCLATELEGRAM,medium,
ZRF,PVA-ORACLE-POC,low,
ZSD,PLT Azure Kubernetes Service,low,
ZSP,PruPrompt,medium,
ZSS,Document Management,low,
ZTB,Azure DevOps,low,
ZTE,PHKL - Databox,low,
ZTF,Azure Arc Extended Security Update,low,
ZUA,Polaris,low,
ZV5,Claims-API,low,
ZWN,Splunk Integration,low,
ZX3,QR Service,low,
ZY4,GTP Cloud DevOps,medium,
ZYM,Claim,low,
ZYQ,VM Operations - SGRASS,low,
ZZ2,PCS PAMB,high,
ZZH,AAD,low,
ZZW,Customer Universe,low,
